stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
140324,140324,CAVADAS R 25 ABRIL 60 (FARMÁCIA),Cavadas Rua 25 De Abril Número 60 ( Farmácia ),38.616037,-9.09677,0,0,,
140325,140325,CASAL MARCO (R 25 ABRIL N112A),Casal Marco ( Rua 25 De Abril ( Número 112 Á ) ),38.612991,-9.094294,0,0,,
140326,140326,CASAL MARCO (R 25 ABRIL N112A),Casal Marco ( Rua 25 De Abril ( Número 112 Á ) ),38.613107,-9.09451,0,0,,
140327,140327,CASAL MARCO R 25 ABRIL10 (X) AV 1ºMAIO,Casal Marco ( Cruzamento Entre ( Rua 25 De Abril Número 10 ) E Avenida Primeiro De Maio ),38.610952,-9.093717,0,0,,
140329,140329,AV 1º MAIO N105 (COLÉGIO EXTERNATO),Avenida Primeiro De Maio N 105 ( Colégio Externato ),38.611989,-9.090441,0,0,,
140330,140330,AV 1º MAIO N105 (COLÉGIO EXTERNATO),Avenida Primeiro De Maio N 105 ( Colégio Externato ),38.611878,-9.090433,0,0,,
140331,140331,P PIRES (AV GENH DELGADO 36),Paio Pires ( Avenida Gen Humberto Delgado 36 ),38.624336,-9.085774,0,0,,
140333,140333,PAIO PIRES AV GEN H DELGADO 81 LARGO,Paio Pires Avenida General Humberto Delgado 81 Largo,38.622189,-9.088424,0,0,,
140336,140336,FARINHEIRAS (AV 8 MARÇO),Farinheiras ( Avenida 8 De Março ),38.620396,-9.090381,0,0,,
140337,140337,PAIO PIRES AV GEN H DELGADO 71A LARGO,Paio Pires Avenida General Humberto Delgado 71 Á Largo,38.622429,-9.087769,0,0,,
140339,140339,P PIRES AV GEN H DELG (X) AV J RELVAS,Paio Pires ( Cruzamento Entre ( Avenida General Humberto Delgado ) E Avenida J Relvas ),38.624643,-9.085249,0,0,,
140341,140341,CASAL MARCO AV 1º MAIO (X) R 25 ABRIL,Casal Marco ( Cruzamento Entre ( Avenida Primeiro De Maio ) E Rua 25 De Abril ),38.610768,-9.093464,0,0,,
140343,140343,AMORA AV AF COSTA (ESCOLA PAULO GAMA),Amóra Avenida Afonso Costa ( Escola Paulo Gama ),38.62225,-9.112064,0,0,,
140345,140345,AMORA (R E G G MENDES N12),Amóra ( Rua E G G Mendes ( Número 12 ) ),38.626962,-9.115274,0,0,,
140347,140347,CRUZ PAU (R 25 ABRIL 83),Cruz Pau ( Rua 25 De Abril Número 83 ),38.623669,-9.12445,0,0,,
