route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B,1,B_1_29.B18,Rato,0,shp13
B,1,B_1_29.B19,Campo Grande,1,shp12
B,1,B_1_29.B20,Rato,0,shp13
B,1,B_1_29.B21,Campo Grande,1,shp12
B,1,B_1_29.B22,Rato,0,shp13
B,1,B_1_29.B23,Campo Grande,1,shp12
B,1,B_1_29.B24,Rato,0,shp13
B,1,B_1_29.B25,Campo Grande,1,shp12
B,1,B_1_29.B26,Rato,0,shp13
B,1,B_1_29.B27,Campo Grande,1,shp12
B,1,B_1_29.B29,Rato,0,shp13
B,1,B_1_29.B30,Campo Grande,1,shp12
B,1,B_1_29.B31,Rato,0,shp13
B,1,B_1_29.B32,Odivelas,1,shp11
B,1,B_1_29.B33,Rato,0,shp10
B,1,B_1_29.B34,Odivelas,1,shp11
B,1,B_1_29.B35,Rato,0,shp10
B,1,B_1_29.B36,Odivelas,1,shp11
B,1,B_1_29.B37,Rato,0,shp10
B,1,B_1_29.B38,Odivelas,1,shp11
B,1,B_1_29.B39,Rato,0,shp10
B,1,B_1_29.B40,Odivelas,1,shp11
B,1,B_1_29.B41,Rato,0,shp10
B,1,B_1_29.B42,Odivelas,1,shp11
B,1,B_1_29.B43,Rato,0,shp10
B,1,B_1_29.B44,Odivelas,1,shp11
B,1,B_1_29.B45,Rato,0,shp10
B,1,B_1_29.B46,Odivelas,1,shp11
B,1,B_1_29.B47,Rato,0,shp10
B,1,B_1_29.B48,Odivelas,1,shp11
B,1,B_1_29.B01,Rato,0,shp10
B,1,B_1_29.B02,Odivelas,1,shp11
B,1,B_1_29.B03,Rato,0,shp10
A,1,A_1_9.A2,Reboleira,0,shp7
A,1,A_1_9.A3,Santa Apolónia,1,shp6
A,1,A_1_9.A4,Reboleira,0,shp7
A,1,A_1_9.A5,Santa Apolónia,1,shp6
A,1,A_1_9.A6,Reboleira,0,shp7
A,1,A_1_9.A7,Santa Apolónia,1,shp6
A,1,A_1_9.A8,Reboleira,0,shp7
A,1,A_1_9.A9,Santa Apolónia,1,shp6
A,1,A_1_9.A10,Reboleira,0,shp7
A,1,A_1_9.A11,Santa Apolónia,1,shp6
A,1,A_1_9.A12,Reboleira,0,shp7
A,1,A_1_9.A13,Santa Apolónia,1,shp6
A,1,A_1_9.A14,Reboleira,0,shp7
A,1,A_1_9.A15,Santa Apolónia,1,shp6
A,1,A_1_9.A16,Reboleira,0,shp7
A,1,A_1_9.A17,Santa Apolónia,1,shp6
A,1,A_1_9.A18,Reboleira,0,shp7
A,1,A_1_9.A19,Santa Apolónia,1,shp6
A,1,A_1_9.A20,Reboleira,0,shp7
A,1,A_1_9.A21,Santa Apolónia,1,shp6
A,1,A_1_9.A22,Reboleira,0,shp7
A,1,A_1_9.A23,Santa Apolónia,1,shp6
A,1,A_1_9.A24,Reboleira,0,shp7
A,1,A_1_9.A25,Santa Apolónia,1,shp6
A,1,A_1_9.A26,Reboleira,0,shp7
A,1,A_1_9.A27,Santa Apolónia,1,shp6
A,1,A_1_9.A28,Reboleira,0,shp7
A,1,A_1_9.A29,Santa Apolónia,1,shp6
A,1,A_1_9.A30,Reboleira,0,shp7
A,1,A_1_9.A31,Santa Apolónia,1,shp6
A,1,A_1_9.A32,Reboleira,0,shp7
A,1,A_1_9.A33,Santa Apolónia,1,shp6
A,1,A_1_9.A033,Reboleira,0,shp7
A,1,A_1_9.A034,Santa Apolónia,1,shp6
A,2,A_2_9.A33,Santa Apolónia,1,shp6
A,2,A_2_9.A34,Reboleira,0,shp7
A,2,A_2_9.A35,Santa Apolónia,1,shp6
A,2,A_2_9.A36,Reboleira,0,shp7
A,2,A_2_9.A37,Santa Apolónia,1,shp6
A,2,A_2_9.A38,Reboleira,0,shp7
A,2,A_2_9.A39,Santa Apolónia,1,shp6
A,2,A_2_9.A40,Reboleira,0,shp7
A,2,A_2_9.A41,Santa Apolónia,1,shp6
A,2,A_2_9.A42,Reboleira,0,shp7
A,2,A_2_9.A43,Santa Apolónia,1,shp6
A,2,A_2_9.A44,Reboleira,0,shp7
A,2,A_2_9.A45,Santa Apolónia,1,shp6
A,2,A_2_9.A46,Reboleira,0,shp7
A,2,A_2_9.A47,Santa Apolónia,1,shp6
A,2,A_2_9.A1,Reboleira,0,shp7
A,2,A_2_9.A2,Santa Apolónia,1,shp6
A,2,A_2_9.A3,Reboleira,0,shp7
A,2,A_2_9.A5,Santa Apolónia,1,shp6
A,2,A_2_9.A6,Reboleira,0,shp7
B,1,B_1_28.B42,Odivelas,1,shp9
B,1,B_1_28.B2,Rato,0,shp10
B,1,B_1_28.B3,Odivelas,1,shp11
B,1,B_1_28.B4,Rato,0,shp10
B,1,B_1_28.B5,Odivelas,1,shp11
B,1,B_1_28.B6,Rato,0,shp10
B,1,B_1_28.B7,Odivelas,1,shp11
B,1,B_1_28.B8,Rato,0,shp10
B,1,B_1_28.B9,Campo Grande,1,shp12
B,1,B_1_28.B10,Rato,0,shp13
B,1,B_1_28.B11,Campo Grande,1,shp12
B,1,B_1_28.B12,Rato,0,shp13
B,1,B_1_28.B13,Campo Grande,1,shp12
B,1,B_1_28.B14,Rato,0,shp13
B,1,B_1_28.B15,Campo Grande,1,shp12
B,1,B_1_28.B16,Rato,0,shp13
B,1,B_1_28.B17,Campo Grande,1,shp12
B,1,B_1_28.B18,Rato,0,shp13
B,1,B_1_28.B19,Campo Grande,1,shp12
B,1,B_1_28.B20,Rato,0,shp13
B,1,B_1_28.B21,Campo Grande,1,shp12
B,1,B_1_28.B22,Rato,0,shp13
B,1,B_1_28.B23,Campo Grande,1,shp12
B,1,B_1_28.B24,Rato,0,shp13
B,1,B_1_28.B25,Campo Grande,1,shp12
B,1,B_1_28.B26,Rato,0,shp13
B,1,B_1_28.B27,Campo Grande,1,shp12
B,1,B_1_28.B28,Rato,0,shp13
B,1,B_1_28.B29,Campo Grande,1,shp12
B,1,B_1_28.B30,Rato,0,shp13
B,1,B_1_28.B31,Odivelas,1,shp11
B,1,B_1_28.B32,Rato,0,shp10
B,1,B_1_28.B33,Odivelas,1,shp11
B,1,B_1_28.B34,Rato,0,shp10
B,1,B_1_28.B35,Odivelas,1,shp11
B,1,B_1_28.B36,Rato,0,shp10
B,1,B_1_28.B37,Odivelas,1,shp11
B,1,B_1_28.B38,Rato,0,shp10
B,1,B_1_28.B39,Odivelas,1,shp11
A,1,A_1_8.A1,Reboleira,0,shp7
A,1,A_1_8.A2,Santa Apolónia,1,shp6
A,1,A_1_8.A3,Reboleira,0,shp7
A,1,A_1_8.A4,Santa Apolónia,1,shp6
A,1,A_1_8.A5,Reboleira,0,shp7
A,1,A_1_8.A6,Santa Apolónia,1,shp6
A,1,A_1_8.A7,Reboleira,0,shp7
A,1,A_1_8.A8,Santa Apolónia,1,shp6
A,1,A_1_8.A9,Reboleira,0,shp7
A,1,A_1_8.A10,Santa Apolónia,1,shp6
A,1,A_1_8.A11,Reboleira,0,shp7
A,1,A_1_8.A12,Santa Apolónia,1,shp6
A,1,A_1_8.A13,Reboleira,0,shp7
A,1,A_1_8.A14,Santa Apolónia,1,shp6
A,1,A_1_8.A15,Reboleira,0,shp7
A,1,A_1_8.A16,Santa Apolónia,1,shp6
A,1,A_1_8.A17,Reboleira,0,shp7
A,1,A_1_8.A18,Santa Apolónia,1,shp6
A,1,A_1_8.A19,Reboleira,0,shp7
A,1,A_1_8.A20,Santa Apolónia,1,shp6
A,1,A_1_8.A21,Reboleira,0,shp7
A,1,A_1_8.A22,Santa Apolónia,1,shp6
A,1,A_1_8.A23,Reboleira,0,shp7
A,1,A_1_8.A24,Santa Apolónia,1,shp6
A,1,A_1_8.A25,Reboleira,0,shp7
A,1,A_1_8.A26,Santa Apolónia,1,shp6
A,1,A_1_8.A27,Reboleira,0,shp7
A,2,A_2_8.A27,Reboleira,0,shp7
A,2,A_2_8.A28,Santa Apolónia,1,shp6
A,2,A_2_8.A29,Reboleira,0,shp7
A,2,A_2_8.A30,Santa Apolónia,1,shp6
A,2,A_2_8.A31,Reboleira,0,shp7
A,2,A_2_8.A32,Santa Apolónia,1,shp6
A,2,A_2_8.A33,Reboleira,0,shp7
A,2,A_2_8.A34,Santa Apolónia,1,shp6
A,2,A_2_8.A35,Reboleira,0,shp7
A,2,A_2_8.A36,Santa Apolónia,1,shp6
A,2,A_2_8.A37,Reboleira,0,shp7
A,2,A_2_8.A38,Santa Apolónia,1,shp6
A,2,A_2_8.A39,Reboleira,0,shp7
A,2,A_2_8.A40,Santa Apolónia,1,shp6
A,2,A_2_8.A41,Reboleira,0,shp7
A,2,A_2_8.A42,Santa Apolónia,1,shp6
A,2,A_2_8.A43,Reboleira,0,shp7
A,2,A_2_8.A44,Santa Apolónia,1,shp6
A,2,A_2_8.A45,Reboleira,0,shp7
A,2,A_2_8.A46,Santa Apolónia,1,shp6
A,2,A_2_8.A47,Reboleira,0,shp7
A,2,A_2_8.A48,Santa Apolónia,1,shp6
A,2,A_2_8.A49,Reboleira,0,shp7
A,2,A_2_8.A50,Santa Apolónia,1,shp6
A,2,A_2_8.A51,Reboleira,0,shp7
A,2,A_2_8.A1,Santa Apolónia,1,shp6
A,2,A_2_8.A2,Reboleira,0,shp7
A,2,A_2_8.A3,Santa Apolónia,1,shp6
A,2,A_2_8.A4,Reboleira,0,shp7
A,2,A_2_8.A5,Santa Apolónia,1,shp6
A,2,A_2_8.A6,Reboleira,0,shp7
A,2,A_2_8.A7,Santa Apolónia,1,shp6
A,2,A_2_8.A07,Reboleira,0,shp7
A,2,A_2_8.A08,Santa Apolónia,1,shp6
B,1,B_1_27.B2,Rato,0,shp10
B,1,B_1_27.B3,Odivelas,1,shp11
B,1,B_1_27.B4,Rato,0,shp10
B,1,B_1_27.B5,Odivelas,1,shp11
B,1,B_1_27.B6,Rato,0,shp10
B,1,B_1_27.B7,Odivelas,1,shp11
B,1,B_1_27.B11,Rato,0,shp10
B,1,B_1_27.B12,Odivelas,1,shp11
B,1,B_1_27.B13,Rato,0,shp10
B,1,B_1_27.B14,Odivelas,1,shp11
B,1,B_1_27.B15,Rato,0,shp10
B,1,B_1_27.B16,Odivelas,1,shp11
B,1,B_1_27.B17,Rato,0,shp10
B,1,B_1_27.B18,Odivelas,1,shp11
B,1,B_1_27.B19,Rato,0,shp10
B,1,B_1_27.B20,Odivelas,1,shp11
A,2,A_2_7.A39,Reboleira,0,shp7
A,2,A_2_7.A40,Santa Apolónia,1,shp6
A,2,A_2_7.A41,Reboleira,0,shp7
A,2,A_2_7.A42,Santa Apolónia,1,shp6
A,2,A_2_7.A43,Reboleira,0,shp7
A,2,A_2_7.A44,Santa Apolónia,1,shp6
A,2,A_2_7.A45,Reboleira,0,shp7
A,2,A_2_7.A46,Santa Apolónia,1,shp6
A,2,A_2_7.A47,Reboleira,0,shp7
A,2,A_2_7.A48,Santa Apolónia,1,shp6
A,2,A_2_7.A49,Reboleira,0,shp7
A,2,A_2_7.A50,Santa Apolónia,1,shp6
